time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.459894,0.0467864140305,-0.59633503129,0.101626227197,0.739762234958,-0.0928058376671,1.39170406981,2.04019444789,100.0,-0.517335020714,-0.198267016834,-0.0187912646516,1.78938858907,-0.0111213607122,0.112364092713,0.0053689327576,0.0
0.460095,0.0467864140305,-0.59633503129,0.101626227197,0.739762234958,-0.0928058376671,1.39170406981,2.04019444789,100.0,-0.517335020714,-0.198267016834,-0.0187912646516,1.78938858907,-0.0111213607122,0.112364092713,0.0053689327576,0.0
0.470189,0.0452524332426,-0.59633503129,0.101626227197,0.739378739761,-0.0928058376671,1.39208756501,2.04019444789,100.0,-0.518102011108,-0.198267016834,-0.0187912646516,1.78977208427,-0.00997087512126,0.113131083107,0.00498543756063,0.0
0.480205,0.0464029188335,-0.59633503129,0.102009722394,0.739762234958,-0.0924223424701,1.39208756501,2.03981095269,100.0,-0.518102011108,-0.198650512031,-0.0180242742577,1.79015557946,-0.0103543703182,0.11274758791,0.0053689327576,0.0
0.490503,0.0467864140305,-0.59633503129,0.101242732,0.739762234958,-0.0920388472731,1.39208756501,2.03981095269,100.0,-0.517335020714,-0.198650512031,-0.0184077694546,1.78977208427,-0.00997087512126,0.112364092713,0.00421844716668,0.0
0.500174,0.0460194236366,-0.59633503129,0.101242732,0.740145730155,-0.093189332864,1.3924710602,2.03981095269,100.0,-0.517335020714,-0.198267016834,-0.0191747598486,1.78977208427,-0.0107378655152,0.112364092713,0.00575242795457,0.0
0.510191,0.0452524332426,-0.59633503129,0.101626227197,0.740145730155,-0.0924223424701,1.39208756501,2.03981095269,100.0,-0.517335020714,-0.198267016834,-0.0184077694546,1.78938858907,-0.0107378655152,0.111597102319,0.00498543756063,0.0
0.520180,0.0460194236366,-0.595951536093,0.102009722394,0.740145730155,-0.0924223424701,1.3924710602,2.03942745749,100.0,-0.517718515911,-0.199417502425,-0.0184077694546,1.79015557946,-0.0115048559091,0.112364092713,0.00498543756063,0.0
0.530176,0.0460194236366,-0.595951536093,0.101242732,0.740145730155,-0.0928058376671,1.39208756501,2.04057794308,100.0,-0.517718515911,-0.199034007228,-0.0184077694546,1.79015557946,-0.0103543703182,0.112364092713,0.0053689327576,0.0
0.540176,0.0460194236366,-0.59633503129,0.101242732,0.740145730155,-0.0924223424701,1.39208756501,2.03942745749,100.0,-0.517718515911,-0.197883521637,-0.0187912646516,1.79015557946,-0.0107378655152,0.112364092713,0.00460194236366,0.0
0.550181,0.0464029188335,-0.59633503129,0.101626227197,0.739762234958,-0.0928058376671,1.39170406981,2.04019444789,100.0,-0.518102011108,-0.199034007228,-0.0187912646516,1.79015557946,-0.0107378655152,0.111597102319,0.00575242795457,0.0
0.560181,0.0464029188335,-0.596718526487,0.101626227197,0.740145730155,-0.0928058376671,1.39170406981,2.04019444789,100.0,-0.518102011108,-0.199034007228,-0.0187912646516,1.78977208427,-0.00958737992428,0.112364092713,0.00498543756063,0.0
0.570173,0.0471699092275,-0.59633503129,0.101242732,0.740529225352,-0.0928058376671,1.39208756501,2.04019444789,100.0,-0.517718515911,-0.198267016834,-0.0191747598486,1.78977208427,-0.0103543703182,0.113131083107,0.00498543756063,0.0
0.580174,0.0464029188335,-0.59633503129,0.102009722394,0.740529225352,-0.0928058376671,1.3924710602,2.03981095269,100.0,-0.518102011108,-0.198650512031,-0.0187912646516,1.78977208427,-0.0103543703182,0.112364092713,0.00498543756063,0.0
0.590174,0.0464029188335,-0.59633503129,0.102009722394,0.739762234958,-0.093572828061,1.3924710602,2.03942745749,100.0,-0.518102011108,-0.197883521637,-0.0180242742577,1.78977208427,-0.00997087512126,0.111980597516,0.00498543756063,0.0
0.600177,0.0464029188335,-0.59633503129,0.101626227197,0.739762234958,-0.0928058376671,1.3924710602,2.04057794308,100.0,-0.516951525517,-0.198267016834,-0.0187912646516,1.78938858907,-0.00997087512126,0.11274758791,0.00498543756063,0.0
0.610177,0.0460194236366,-0.59633503129,0.102009722394,0.739378739761,-0.093572828061,1.39208756501,2.04057794308,100.0,-0.518102011108,-0.198267016834,-0.0180242742577,1.78977208427,-0.0103543703182,0.112364092713,0.0053689327576,0.0
